zip_code;city;lat;lng;ne_lat;ne_lng;sw_lat;sw_lng
79576;Weil am Rhein;47.6052;7.61039;47.6341;7.64976;47.5768;7.56689
79692;Tegernau;47.7558;7.8023;47.8225;7.85214;47.675;7.73523
79424;Auggen;47.7852;7.58624;47.8109;7.63767;47.7719;7.55417
79686;Hasel;47.6653;7.89245;47.689;7.91704;47.6419;7.86859
79733;Görwihl;47.6493;8.05175;47.7222;8.10042;47.6096;8.00651
79294;Sölden;47.9315;7.81121;47.9424;7.83032;47.922;7.79198
79427;Eschbach;47.8901;7.65082;47.9119;7.67449;47.878;7.59781
79254;Oberried;47.9052;7.94122;47.9483;8.03926;47.8667;7.86845
79713;Bad Säckingen;47.5749;7.98222;47.5925;8.01412;47.5438;7.90659
79837;St. Blasien;47.7642;8.1089;47.8574;8.19306;47.6696;8.02176
79694;Utzenfeld;47.8129;7.90931;47.8327;7.92936;47.7931;7.89245
79112;Freiburg;47.9908;7.70853;48.0386;7.76979;47.9592;7.66214
79804;Dogern;47.6064;8.16714;47.6323;8.19113;47.5937;8.14325
79787;Lauchringen;47.6243;8.33076;47.6416;8.37027;47.6062;8.28925
79618;Rheinfelden;47.5896;7.76878;47.6253;7.84082;47.5421;7.70662
79874;Breitnau;47.9252;8.08153;47.979;8.15718;47.909;8.01633
79271;St. Peter;48.028;8.03715;48.0656;8.10235;47.9938;7.99419
79331;Teningen;48.1247;7.7941;48.1756;7.87268;48.0798;7.75417
79235;Vogtsburg;48.0952;7.63916;48.1168;7.70023;48.0531;7.57364
79400;Kandern;47.6964;7.65301;47.7476;7.71812;47.6586;7.56988
79104;Freiburg;48.0034;7.88918;48.0314;7.93026;47.9877;7.84303
79877;Friedenweiler;47.931;8.27974;47.9469;8.31209;47.8647;8.24241
78120;Furtwangen;48.0445;8.22658;48.1041;8.28227;47.9919;8.13097
79780;Stühlingen;47.7611;8.42633;47.8319;8.53085;47.7095;8.31802
79367;Weisweil;48.1998;7.67624;48.2347;7.7103;48.1764;7.63716
